date time   kbmemfree kbavail kbmemused %memused kbbuffers kbcached kbcommit %commit kbactive kbinact kbdirty
2019-07-14 21:42:00   820348 2049332 15485200 94.97 372932 2255084 30405616 92.25 8801844 1879572 1436
2019-07-14 21:42:01   818744 2047760 15486804 94.98 372936 2256116 30405616 92.25 8802188 1880648 1332
2019-07-14 21:42:02   819060 2048080 15486488 94.98 372936 2254588 30405616 92.25 8803012 1879140 1348
2019-07-14 21:42:03   819216 2048240 15486332 94.98 372936 2254616 30405616 92.25 8802136 1879168 1352
2019-07-14 21:42:04   819216 2048244 15486332 94.98 372936 2254624 30405616 92.25 8802716 1879172 1356
2019-07-14 21:42:05   818216 2047248 15487332 94.98 372936 2254656 30405616 92.25 8803564 1879184 1356
2019-07-14 21:42:07   827748 2056792 15477800 94.92 372940 2252632 30291760 91.90 8797544 1877196 532
2019-07-14 21:42:08   842876 2071924 15462672 94.83 372940 2250596 30164004 91.51 8785548 1875160 568
2019-07-14 21:42:09   843868 2072920 15461680 94.82 372940 2250632 30164004 91.51 8784300 1875192 576
2019-07-14 21:42:10   844856 2073832 15460692 94.82 372940 2250656 30164004 91.51 8783792 1875220 604
2019-07-14 21:42:11   844888 2073868 15460660 94.82 372940 2250676 30164004 91.51 8784372 1875244 568
2019-07-14 21:42:12   844260 2073260 15461288 94.82 372956 2250696 30164004 91.51 8784872 1875260 628
2019-07-14 21:42:13   846120 2075124 15459428 94.81 372956 2248852 30164004 91.51 8785228 1873420 640
2019-07-14 21:42:14   844740 2073748 15460808 94.82 372956 2250016 30164004 91.51 8785220 1874572 656
2019-07-14 21:42:15   843872 2072896 15461676 94.82 372956 2250800 30164004 91.51 8785704 1875368 660
2019-07-14 21:42:16   845504 2074532 15460044 94.81 372972 2248020 30164004 91.51 8785996 1872604 664
2019-07-14 21:42:17   843996 2073044 15461552 94.82 372972 2250312 30164004 91.51 8786184 1874864 668
2019-07-14 21:42:18   845016 2074068 15460532 94.82 372972 2250396 30164004 91.51 8784372 1874952 672
2019-07-14 21:42:19   843840 2072896 15461708 94.82 372972 2250852 30164004 91.51 8785356 1875408 684
2019-07-14 21:42:20   843436 2072496 15462112 94.83 372972 2250872 30164004 91.51 8785508 1875428 700
2019-07-14 21:42:21   845040 2074124 15460508 94.82 372976 2248768 30164004 91.51 8785656 1873348 704
2019-07-14 21:42:22   843040 2072136 15462508 94.83 372996 2250880 30164004 91.51 8785980 1875388 700
2019-07-14 21:42:23   843404 2072508 15462144 94.83 372996 2250916 30164004 91.51 8785436 1875492 704
2019-07-14 21:42:24   846272 2075380 15459276 94.81 372996 2248208 30164004 91.51 8784620 1872784 708
2019-07-14 21:42:25   844652 2073764 15460896 94.82 372996 2250360 30164004 91.51 8785284 1874880 716
2019-07-14 21:42:26   846412 2075528 15459136 94.81 372996 2248100 30164004 91.51 8785564 1872676 720
2019-07-14 21:42:27   845984 2075104 15459564 94.81 373000 2248812 30164004 91.51 8785540 1873328 680
2019-07-14 21:42:28   846712 2075840 15458836 94.81 373000 2247800 30164004 91.51 8784848 1872372 712
2019-07-14 21:42:29   846480 2075612 15459068 94.81 373000 2247804 30164004 91.51 8784996 1872376 720
2019-07-14 21:42:30   848696 2077828 15456852 94.80 373000 2247804 30164004 91.51 8782664 1872376 720
2019-07-14 21:42:31   848968 2078104 15456580 94.79 373000 2247808 30164004 91.51 8782876 1872380 756
2019-07-14 21:42:32   848488 2077628 15457060 94.80 373004 2247812 30164004 91.51 8782952 1872384 660
2019-07-14 21:42:33   848612 2077760 15456936 94.80 373012 2247812 30164004 91.51 8782976 1872388 680
2019-07-14 21:42:34   848356 2077516 15457192 94.80 373012 2248592 30164004 91.51 8782524 1873164 692
2019-07-14 21:42:35   852120 2081284 15453428 94.77 373012 2245024 30164004 91.51 8782556 1869596 708
2019-07-14 21:42:36   852292 2081460 15453256 94.77 373012 2244444 30164004 91.51 8782748 1869016 720
2019-07-14 21:42:37   853076 2082248 15452472 94.77 373016 2244444 30164004 91.51 8782004 1869020 136
2019-07-14 21:42:38   852600 2081780 15452948 94.77 373016 2244456 30164004 91.51 8782312 1869028 140
2019-07-14 21:42:39   851980 2081164 15453568 94.77 373016 2244912 30147988 91.47 8782716 1869452 144
