date time   pgpgin/s pgpgout/s fault/s majflt/s pgfree/s pgscank/s pgscand/s pgsteal/s %vmeff
2019-07-14 21:42:18   0.00 31.68 1612.87 0.00 1841.58 0.00 0.00 0.00 0.00
2019-07-14 21:42:19   0.00 0.00 915.84 0.00 559.41 0.00 0.00 0.00 0.00
2019-07-14 21:42:20   0.00 0.00 444.12 0.00 431.37 0.00 0.00 0.00 0.00
2019-07-14 21:42:21   0.00 79.21 659.41 0.00 1080.20 0.00 0.00 0.00 0.00
2019-07-14 21:42:22   0.00 95.05 1053.47 0.00 436.63 0.00 0.00 0.00 0.00
2019-07-14 21:42:23   0.00 0.00 550.00 0.00 792.16 0.00 0.00 0.00 0.00
2019-07-14 21:42:24   0.00 31.68 466.34 0.00 1327.72 0.00 0.00 0.00 0.00
2019-07-14 21:42:25   0.00 0.00 1347.52 0.00 538.61 0.00 0.00 0.00 0.00
2019-07-14 21:42:26   0.00 31.37 443.14 0.00 1033.33 0.00 0.00 0.00 0.00
2019-07-14 21:42:27   0.00 138.61 883.17 0.00 471.29 0.00 0.00 0.00 0.00
2019-07-14 21:42:28   0.00 0.00 487.25 0.00 846.08 0.00 0.00 0.00 0.00
2019-07-14 21:42:29   0.00 0.00 446.53 0.00 361.39 0.00 0.00 0.00 0.00
2019-07-14 21:42:30   0.00 0.00 511.88 0.00 1034.65 0.00 0.00 0.00 0.00
2019-07-14 21:42:31   0.00 0.00 456.86 0.00 465.69 0.00 0.00 0.00 0.00
2019-07-14 21:42:32   0.00 192.16 434.31 0.00 391.18 0.00 0.00 0.00 0.00
2019-07-14 21:42:33   0.00 23.76 475.25 0.00 449.50 0.00 0.00 0.00 0.00
2019-07-14 21:42:34   0.00 0.00 1031.68 0.00 952.48 0.00 0.00 0.00 0.00
2019-07-14 21:42:35   0.00 0.00 1508.82 0.00 2361.76 0.00 0.00 0.00 0.00
2019-07-14 21:42:36   0.00 0.00 436.27 0.00 465.69 0.00 0.00 0.00 0.00
2019-07-14 21:42:37   0.00 613.86 497.03 0.00 652.48 0.00 0.00 0.00 0.00
2019-07-14 21:42:38   0.00 0.00 497.03 0.00 453.47 0.00 0.00 0.00 0.00
2019-07-14 21:42:39   0.00 0.00 671.57 0.00 338.24 0.00 0.00 0.00 0.00
